technique_id	technique_name	tactics
T1027.010	Obfuscated Files or Information: Command Obfuscation	Defense Evasion
T1027.011	Obfuscated Files or Information: Fileless Storage	Defense Evasion
T1027.012	Obfuscated Files or Information: LNK Icon Smuggling	Defense Evasion
T1027.013	Obfuscated Files or Information: Encrypted/Encoded File	Defense Evasion
T1027.014	Obfuscated Files or Information: Polymorphic Code	Defense Evasion
T1027.015	Obfuscated Files or Information: Compression	Defense Evasion
T1027.016	Obfuscated Files or Information: Junk Code Insertion	Defense Evasion
T1027.017	Obfuscated Files or Information: SVG Smuggling	Defense Evasion
T1028	Windows Remote Management	Execution; Lateral Movement
T1029	Scheduled Transfer	Exfiltration
T1030	Data Transfer Size Limits	Exfiltration
T1031	Modify Existing Service	Persistence
T1032	Standard Cryptographic Protocol	Command And Control
T1033	System Owner/User Discovery	Discovery
T1034	Path Interception	Persistence; Privilege Escalation
T1035	Service Execution	Execution
T1036	Masquerading	Defense Evasion
T1036.001	Masquerading: Invalid Code Signature	Defense Evasion
T1036.002	Masquerading: Right-to-Left Override	Defense Evasion
T1036.003	Masquerading: Rename Legitimate Utilities	Defense Evasion
T1036.004	Masquerading: Masquerade Task or Service	Defense Evasion
T1036.005	Masquerading: Match Legitimate Resource Name or Location	Defense Evasion
T1036.006	Masquerading: Space after Filename	Defense Evasion
T1036.007	Masquerading: Double File Extension	Defense Evasion
T1036.008	Masquerading: Masquerade File Type	Defense Evasion
T1036.009	Masquerading: Break Process Trees	Defense Evasion
T1036.010	Masquerading: Masquerade Account Name	Defense Evasion
T1036.011	Masquerading: Overwrite Process Arguments	Defense Evasion
T1037	Boot or Logon Initialization Scripts	Persistence; Privilege Escalation
T1037.001	Boot or Logon Initialization Scripts: Logon Script (Windows)	Persistence; Privilege Escalation
T1037.002	Boot or Logon Initialization Scripts: Login Hook	Persistence; Privilege Escalation
T1037.003	Boot or Logon Initialization Scripts: Network Logon Script	Persistence; Privilege Escalation
T1037.004	Boot or Logon Initialization Scripts: RC Scripts	Persistence; Privilege Escalation
T1037.005	Boot or Logon Initialization Scripts: Startup Items	Persistence; Privilege Escalation
T1038	DLL Search Order Hijacking	Persistence; Privilege Escalation; Defense Evasion
T1039	Data from Network Shared Drive	Collection
T1040	Network Sniffing	Credential Access; Discovery
T1041	Exfiltration Over C2 Channel	Exfiltration
T1042	Change Default File Association	Persistence
T1043	Commonly Used Port	Command And Control
T1044	File System Permissions Weakness	Persistence; Privilege Escalation
T1045	Software Packing	Defense Evasion
T1046	Network Service Discovery	Discovery
T1047	Windows Management Instrumentation	Execution
T1048	Exfiltration Over Alternative Protocol	Exfiltration
T1048.001	Exfiltration Over Alternative Protocol: Exfiltration Over Symmetric Encrypted Non-C2 Protocol	Exfiltration
T1048.002	Exfiltration Over Alternative Protocol: Exfiltration Over Asymmetric Encrypted Non-C2 Protocol	Exfiltration
T1048.003	Exfiltration Over Alternative Protocol: Exfiltration Over Unencrypted Non-C2 Protocol	Exfiltration
T1049	System Network Connections Discovery	Discovery
T1050	New Service	Persistence; Privilege Escalation
T1051	Shared Webroot	Lateral Movement
T1052	Exfiltration Over Physical Medium	Exfiltration
T1052.001	Exfiltration Over Physical Medium: Exfiltration over USB	Exfiltration
T1053	Scheduled Task/Job	Execution; Persistence; Privilege Escalation
T1053.001	Scheduled Task/Job: At (Linux)	Execution; Persistence; Privilege Escalation
T1053.002	Scheduled Task/Job: At	Execution; Persistence; Privilege Escalation
T1053.003	Scheduled Task/Job: Cron	Execution; Persistence; Privilege Escalation
T1053.004	Scheduled Task/Job: Launchd	Execution; Persistence; Privilege Escalation
T1053.005	Scheduled Task/Job: Scheduled Task	Execution; Persistence; Privilege Escalation
T1053.006	Scheduled Task/Job: Systemd Timers	Execution; Persistence; Privilege Escalation
T1053.007	Scheduled Task/Job: Container Orchestration Job	Execution; Persistence; Privilege Escalation
T1054	Indicator Blocking	Defense Evasion
T1055	Process Injection	Defense Evasion; Privilege Escalation
T1055.001	Process Injection: Dynamic-link Library Injection	Defense Evasion; Privilege Escalation
T1055.002	Process Injection: Portable Executable Injection	Defense Evasion; Privilege Escalation
T1055.003	Process Injection: Thread Execution Hijacking	Defense Evasion; Privilege Escalation
T1055.004	Process Injection: Asynchronous Procedure Call	Defense Evasion; Privilege Escalation
T1055.005	Process Injection: Thread Local Storage	Defense Evasion; Privilege Escalation
T1055.008	Process Injection: Ptrace System Calls	Defense Evasion; Privilege Escalation
T1055.009	Process Injection: Proc Memory	Defense Evasion; Privilege Escalation
T1055.011	Process Injection: Extra Window Memory Injection	Defense Evasion; Privilege Escalation
T1055.012	Process Injection: Process Hollowing	Defense Evasion; Privilege Escalation
T1055.013	Process Injection: Process Doppelgänging	Defense Evasion; Privilege Escalation
T1055.014	Process Injection: VDSO Hijacking	Defense Evasion; Privilege Escalation
T1055.015	Process Injection: ListPlanting	Defense Evasion; Privilege Escalation
T1056	Input Capture	Collection; Credential Access
T1056.001	Input Capture: Keylogging	Collection; Credential Access
T1056.002	Input Capture: GUI Input Capture	Collection; Credential Access
T1056.003	Input Capture: Web Portal Capture	Collection; Credential Access
T1056.004	Input Capture: Credential API Hooking	Collection; Credential Access
T1057	Process Discovery	Discovery
T1058	Service Registry Permissions Weakness	Persistence; Privilege Escalation
T1059	Command and Scripting Interpreter	Execution
T1059.001	Command and Scripting Interpreter: PowerShell	Execution
T1059.002	Command and Scripting Interpreter: AppleScript	Execution
T1059.003	Command and Scripting Interpreter: Windows Command Shell	Execution
T1059.004	Command and Scripting Interpreter: Unix Shell	Execution
T1059.005	Command and Scripting Interpreter: Visual Basic	Execution
T1059.006	Command and Scripting Interpreter: Python	Execution
T1059.007	Command and Scripting Interpreter: JavaScript	Execution
T1059.008	Command and Scripting Interpreter: Network Device CLI	Execution
T1059.009	Command and Scripting Interpreter: Cloud API	Execution
T1059.010	Command and Scripting Interpreter: AutoHotKey & AutoIT	Execution
T1059.011	Command and Scripting Interpreter: Lua	Execution
T1059.012	Command and Scripting Interpreter: Hypervisor CLI	Execution
T1060	Registry Run Keys / Startup Folder	Persistence
T1061	Graphical User Interface	Execution
T1062	Hypervisor	Persistence
T1063	Security Software Discovery	Discovery
T1064	Scripting	Defense Evasion; Execution
T1065	Uncommonly Used Port	Command And Control
T1066	Indicator Removal from Tools	Defense Evasion
T1067	Bootkit	Persistence
T1068	Exploitation for Privilege Escalation	Privilege Escalation
T1069	Permission Groups Discovery	Discovery
T1069.001	Permission Groups Discovery: Local Groups	Discovery
T1069.002	Permission Groups Discovery: Domain Groups	Discovery
T1069.003	Permission Groups Discovery: Cloud Groups	Discovery
T1070	Indicator Removal	Defense Evasion
T1070.001	Indicator Removal: Clear Windows Event Logs	Defense Evasion
T1070.002	Indicator Removal: Clear Linux or Mac System Logs	Defense Evasion
T1070.003	Indicator Removal: Clear Command History	Defense Evasion
T1070.004	Indicator Removal: File Deletion	Defense Evasion
T1070.005	Indicator Removal: Network Share Connection Removal	Defense Evasion
T1070.006	Indicator Removal: Timestomp	Defense Evasion
T1070.007	Indicator Removal: Clear Network Connection History and Configurations	Defense Evasion
T1070.008	Indicator Removal: Clear Mailbox Data	Defense Evasion
T1070.009	Indicator Removal: Clear Persistence	Defense Evasion
T1070.010	Indicator Removal: Relocate Malware	Defense Evasion
T1071	Application Layer Protocol	Command And Control
T1071.001	Application Layer Protocol: Web Protocols	Command And Control
T1071.002	Application Layer Protocol: File Transfer Protocols	Command And Control
T1071.003	Application Layer Protocol: Mail Protocols	Command And Control
T1071.004	Application Layer Protocol: DNS	Command And Control
T1071.005	Application Layer Protocol: Publish/Subscribe Protocols	Command And Control
T1072	Software Deployment Tools	Execution; Lateral Movement
T1073	DLL Side-Loading	Defense Evasion
T1074	Data Staged	Collection
T1074.001	Data Staged: Local Data Staging	Collection
T1074.002	Data Staged: Remote Data Staging	Collection
T1075	Pass the Hash	Lateral Movement
T1076	Remote Desktop Protocol	Lateral Movement
T1077	Windows Admin Shares	Lateral Movement
T1078	Valid Accounts	Defense Evasion; Persistence; Privilege Escalation; Initial Access
T1078.001	Valid Accounts: Default Accounts	Defense Evasion; Persistence; Privilege Escalation; Initial Access
T1078.002	Valid Accounts: Domain Accounts	Defense Evasion; Persistence; Privilege Escalation; Initial Access
T1078.003	Valid Accounts: Local Accounts	Defense Evasion; Persistence; Privilege Escalation; Initial Access
T1078.004	Valid Accounts: Cloud Accounts	Defense Evasion; Persistence; Privilege Escalation; Initial Access
T1079	Multilayer Encryption	Command And Control
T1080	Taint Shared Content	Lateral Movement
T1081	Credentials in Files	Credential Access
T1082	System Information Discovery	Discovery
T1083	File and Directory Discovery	Discovery
T1084	Windows Management Instrumentation Event Subscription	Persistence
T1085	Rundll32	Defense Evasion; Execution
T1086	PowerShell	Execution
T1087	Account Discovery	Discovery
T1087.001	Account Discovery: Local Account	Discovery
T1087.002	Account Discovery: Domain Account	Discovery
T1087.003	Account Discovery: Email Account	Discovery
T1087.004	Account Discovery: Cloud Account	Discovery
T1088	Bypass User Account Control	Defense Evasion; Privilege Escalation
T1089	Disabling Security Tools	Defense Evasion
T1090	Proxy	Command And Control
T1090.001	Proxy: Internal Proxy	Command And Control
T1090.002	Proxy: External Proxy	Command And Control
T1090.003	Proxy: Multi-hop Proxy	Command And Control
T1090.004	Proxy: Domain Fronting	Command And Control
T1091	Replication Through Removable Media	Lateral Movement; Initial Access
T1092	Communication Through Removable Media	Command And Control
T1093	Process Hollowing	Defense Evasion
T1094	Custom Command and Control Protocol	Command And Control
T1095	Non-Application Layer Protocol	Command And Control
T1096	NTFS File Attributes	Defense Evasion
T1097	Pass the Ticket	Lateral Movement
T1098	Account Manipulation	Persistence; Privilege Escalation
T1098.001	Account Manipulation: Additional Cloud Credentials	Persistence; Privilege Escalation
T1098.002	Account Manipulation: Additional Email Delegate Permissions	Persistence; Privilege Escalation
T1098.003	Account Manipulation: Additional Cloud Roles	Persistence; Privilege Escalation
T1098.004	Account Manipulation: SSH Authorized Keys	Persistence; Privilege Escalation
T1098.005	Account Manipulation: Device Registration	Persistence; Privilege Escalation
T1098.006	Account Manipulation: Additional Container Cluster Roles	Persistence; Privilege Escalation
T1098.007	Account Manipulation: Additional Local or Domain Groups	Persistence; Privilege Escalation
T1099	Timestomp	Defense Evasion
T1100	Web Shell	Persistence; Privilege Escalation
T1101	Security Support Provider	Persistence
T1102	Web Service	Command And Control
T1102.001	Web Service: Dead Drop Resolver	Command And Control
T1102.002	Web Service: Bidirectional Communication	Command And Control
T1102.003	Web Service: One-Way Communication	Command And Control
T1103	AppInit DLLs	Persistence; Privilege Escalation
T1104	Multi-Stage Channels	Command And Control
T1105	Ingress Tool Transfer	Command And Control
T1106	Native API	Execution
T1107	File Deletion	Defense Evasion
T1108	Redundant Access	Defense Evasion; Persistence
T1109	Component Firmware	Defense Evasion; Persistence
T1110	Brute Force	Credential Access
T1110.001	Brute Force: Password Guessing	Credential Access
T1110.002	Brute Force: Password Cracking	Credential Access
T1110.003	Brute Force: Password Spraying	Credential Access
T1110.004	Brute Force: Credential Stuffing	Credential Access
T1111	Multi-Factor Authentication Interception	Credential Access
T1112	Modify Registry	Defense Evasion; Persistence
T1113	Screen Capture	Collection
T1114	Email Collection	Collection
T1114.001	Email Collection: Local Email Collection	Collection
T1114.002	Email Collection: Remote Email Collection	Collection
T1114.003	Email Collection: Email Forwarding Rule	Collection
T1115	Clipboard Data	Collection
T1116	Code Signing	Defense Evasion
T1117	Regsvr32	Defense Evasion; Execution
T1118	InstallUtil	Defense Evasion; Execution
T1119	Automated Collection	Collection
T1120	Peripheral Device Discovery	Discovery
T1121	Regsvcs/Regasm	Defense Evasion; Execution
T1122	Component Object Model Hijacking	Defense Evasion; Persistence
T1123	Audio Capture	Collection
T1124	System Time Discovery	Discovery
T1125	Video Capture	Collection
T1126	Network Share Connection Removal	Defense Evasion
T1127	Trusted Developer Utilities Proxy Execution	Defense Evasion
T1127.001	Trusted Developer Utilities Proxy Execution: MSBuild	Defense Evasion
T1127.002	Trusted Developer Utilities Proxy Execution: ClickOnce	Defense Evasion
T1127.003	Trusted Developer Utilities Proxy Execution: JamPlus	Defense Evasion
T1128	Netsh Helper DLL	Persistence
T1129	Shared Modules	Execution
T1130	Install Root Certificate	Defense Evasion
T1131	Authentication Package	Persistence
T1132	Data Encoding	Command And Control
T1132.001	Data Encoding: Standard Encoding	Command And Control
T1132.002	Data Encoding: Non-Standard Encoding	Command And Control
T1133	External Remote Services	Persistence; Initial Access
T1134	Access Token Manipulation	Defense Evasion; Privilege Escalation
T1134.001	Access Token Manipulation: Token Impersonation/Theft	Defense Evasion; Privilege Escalation
T1134.002	Access Token Manipulation: Create Process with Token	Defense Evasion; Privilege Escalation
T1134.003	Access Token Manipulation: Make and Impersonate Token	Defense Evasion; Privilege Escalation
T1134.004	Access Token Manipulation: Parent PID Spoofing	Defense Evasion; Privilege Escalation
T1134.005	Access Token Manipulation: SID-History Injection	Defense Evasion; Privilege Escalation
T1135	Network Share Discovery	Discovery
T1136	Create Account	Persistence
T1136.001	Create Account: Local Account	Persistence
T1136.002	Create Account: Domain Account	Persistence
T1136.003	Create Account: Cloud Account	Persistence
T1137	Office Application Startup	Persistence
T1137.001	Office Application Startup: Office Template Macros	Persistence
T1137.002	Office Application Startup: Office Test	Persistence
T1137.003	Office Application Startup: Outlook Forms	Persistence
T1137.004	Office Application Startup: Outlook Home Page	Persistence
T1137.005	Office Application Startup: Outlook Rules	Persistence
T1137.006	Office Application Startup: Add-ins	Persistence
T1138	Application Shimming	Persistence; Privilege Escalation
T1139	Bash History	Credential Access
T1140	Deobfuscate/Decode Files or Information	Defense Evasion
T1141	Input Prompt	Credential Access
T1142	Keychain	Credential Access
T1143	Hidden Window	Defense Evasion
T1144	Gatekeeper Bypass	Defense Evasion
T1145	Private Keys	Credential Access
T1146	Clear Command History	Defense Evasion
T1147	Hidden Users	Defense Evasion
T1148	HISTCONTROL	Defense Evasion
T1149	LC_MAIN Hijacking	Defense Evasion
T1150	Plist Modification	Defense Evasion; Persistence; Privilege Escalation
T1151	Space after Filename	Defense Evasion; Execution
T1152	Launchctl	Defense Evasion; Execution; Persistence
T1153	Source	Execution
T1154	Trap	Execution; Persistence
T1155	AppleScript	Execution
T1156	Malicious Shell Modification	Persistence
T1157	Dylib Hijacking	Persistence; Privilege Escalation
T1158	Hidden Files and Directories	Defense Evasion; Persistence
T1159	Launch Agent	Persistence
T1160	Launch Daemon	Persistence; Privilege Escalation
T1161	LC_LOAD_DYLIB Addition	Persistence
T1162	Login Item	Persistence
T1163	Rc.common	Persistence
T1164	Re-opened Applications	Persistence
T1165	Startup Items	Persistence; Privilege Escalation
T1166	Setuid and Setgid	Privilege Escalation; Persistence
T1167	Securityd Memory	Credential Access
T1168	Local Job Scheduling	Persistence; Execution
T1169	Sudo	Privilege Escalation
T1170	Mshta	Defense Evasion; Execution
T1171	LLMNR/NBT-NS Poisoning and Relay	Credential Access
T1172	Domain Fronting	Command And Control
T1173	Dynamic Data Exchange	Execution
T1174	Password Filter DLL	Credential Access
T1175	Component Object Model and Distributed COM	Lateral Movement; Execution
T1176	Software Extensions	Persistence
T1176.001	Software Extensions: Browser Extensions	Persistence
T1176.002	Software Extensions: IDE Extensions	Persistence
T1177	LSASS Driver	Execution; Persistence
T1178	SID-History Injection	Privilege Escalation
T1179	Hooking	Persistence; Privilege Escalation; Credential Access
T1180	Screensaver	Persistence
T1181	Extra Window Memory Injection	Defense Evasion; Privilege Escalation
T1182	AppCert DLLs	Persistence; Privilege Escalation
T1183	Image File Execution Options Injection	Privilege Escalation; Persistence; Defense Evasion
T1184	SSH Hijacking	Lateral Movement
T1185	Browser Session Hijacking	Collection
T1186	Process Doppelgänging	Defense Evasion
T1187	Forced Authentication	Credential Access
T1188	Multi-hop Proxy	Command And Control
T1189	Drive-by Compromise	Initial Access
T1190	Exploit Public-Facing Application	Initial Access
T1191	CMSTP	Defense Evasion; Execution
T1192	Spearphishing Link	Initial Access
T1193	Spearphishing Attachment	Initial Access
T1194	Spearphishing via Service	Initial Access
T1195	Supply Chain Compromise	Initial Access
T1195.001	Supply Chain Compromise: Compromise Software Dependencies and Development Tools	Initial Access
T1195.002	Supply Chain Compromise: Compromise Software Supply Chain	Initial Access
T1195.003	Supply Chain Compromise: Compromise Hardware Supply Chain	Initial Access
T1196	Control Panel Items	Defense Evasion; Execution
T1197	BITS Jobs	Defense Evasion; Persistence
T1198	SIP and Trust Provider Hijacking	Defense Evasion; Persistence
T1199	Trusted Relationship	Initial Access
T1200	Hardware Additions	Initial Access
T1201	Password Policy Discovery	Discovery
T1202	Indirect Command Execution	Defense Evasion
T1203	Exploitation for Client Execution	Execution
T1204	User Execution	Execution
T1204.001	User Execution: Malicious Link	Execution
T1204.002	User Execution: Malicious File	Execution
T1204.003	User Execution: Malicious Image	Execution
T1204.004	User Execution: Malicious Copy and Paste	Execution
T1205	Traffic Signaling	Defense Evasion; Persistence; Command And Control
T1205.001	Traffic Signaling: Port Knocking	Defense Evasion; Persistence; Command And Control
T1205.002	Traffic Signaling: Socket Filters	Defense Evasion; Persistence; Command And Control
T1206	Sudo Caching	Privilege Escalation
T1207	Rogue Domain Controller	Defense Evasion
T1208	Kerberoasting	Credential Access
T1209	Time Providers	Persistence
T1210	Exploitation of Remote Services	Lateral Movement
T1211	Exploitation for Defense Evasion	Defense Evasion
T1212	Exploitation for Credential Access	Credential Access
T1213	Data from Information Repositories	Collection
T1213.001	Data from Information Repositories: Confluence	Collection
T1213.002	Data from Information Repositories: Sharepoint	Collection
T1213.003	Data from Information Repositories: Code Repositories	Collection
T1213.004	Data from Information Repositories: Customer Relationship Management Software	Collection
T1213.005	Data from Information Repositories: Messaging Applications	Collection
T1214	Credentials in Registry	Credential Access
T1215	Kernel Modules and Extensions	Persistence
T1216	System Script Proxy Execution	Defense Evasion
T1216.001	System Script Proxy Execution: PubPrn	Defense Evasion
T1216.002	System Script Proxy Execution: SyncAppvPublishingServer	Defense Evasion
T1217	Browser Information Discovery	Discovery
T1218	System Binary Proxy Execution	Defense Evasion
T1218.001	System Binary Proxy Execution: Compiled HTML File	Defense Evasion
T1218.002	System Binary Proxy Execution: Control Panel	Defense Evasion
T1218.003	System Binary Proxy Execution: CMSTP	Defense Evasion
T1218.004	System Binary Proxy Execution: InstallUtil	Defense Evasion
T1218.005	System Binary Proxy Execution: Mshta	Defense Evasion
T1218.007	System Binary Proxy Execution: Msiexec	Defense Evasion
T1218.008	System Binary Proxy Execution: Odbcconf	Defense Evasion
T1218.009	System Binary Proxy Execution: Regsvcs/Regasm	Defense Evasion
T1218.010	System Binary Proxy Execution: Regsvr32	Defense Evasion
T1218.011	System Binary Proxy Execution: Rundll32	Defense Evasion
T1218.012	System Binary Proxy Execution: Verclsid	Defense Evasion
T1218.013	System Binary Proxy Execution: Mavinject	Defense Evasion
T1218.014	System Binary Proxy Execution: MMC	Defense Evasion
T1218.015	System Binary Proxy Execution: Electron Applications	Defense Evasion
T1219	Remote Access Tools	Command And Control
T1219.001	Remote Access Tools: IDE Tunneling	Command And Control
T1219.002	Remote Access Tools: Remote Desktop Software	Command And Control
T1219.003	Remote Access Tools: Remote Access Hardware	Command And Control
T1220	XSL Script Processing	Defense Evasion
T1221	Template Injection	Defense Evasion
T1222	File and Directory Permissions Modification	Defense Evasion
T1222.001	File and Directory Permissions Modification: Windows File and Directory Permissions Modification	Defense Evasion
T1222.002	File and Directory Permissions Modification: Linux and Mac File and Directory Permissions Modification	Defense Evasion
T1223	Compiled HTML File	Defense Evasion; Execution
T1480	Execution Guardrails	Defense Evasion
T1480.001	Execution Guardrails: Environmental Keying	Defense Evasion
T1480.002	Execution Guardrails: Mutual Exclusion	Defense Evasion
T1482	Domain Trust Discovery	Discovery
T1483	Domain Generation Algorithms	Command And Control
T1484	Domain or Tenant Policy Modification	Defense Evasion; Privilege Escalation
T1484.001	Domain or Tenant Policy Modification: Group Policy Modification	Defense Evasion; Privilege Escalation
T1484.002	Domain or Tenant Policy Modification: Trust Modification	Defense Evasion; Privilege Escalation
T1485	Data Destruction	Impact
T1485.001	Data Destruction: Lifecycle-Triggered Deletion	Impact
T1486	Data Encrypted for Impact	Impact
T1487	Disk Structure Wipe	Impact
T1488	Disk Content Wipe	Impact
T1489	Service Stop	Impact
T1490	Inhibit System Recovery	Impact
T1491	Defacement	Impact
T1491.001	Defacement: Internal Defacement	Impact
T1491.002	Defacement: External Defacement	Impact
T1492	Stored Data Manipulation	Impact
T1493	Transmitted Data Manipulation	Impact
T1494	Runtime Data Manipulation	Impact
T1495	Firmware Corruption	Impact
T1496	Resource Hijacking	Impact
T1496.001	Resource Hijacking: Compute Hijacking	Impact
T1496.002	Resource Hijacking: Bandwidth Hijacking	Impact
T1496.003	Resource Hijacking: SMS Pumping	Impact
T1496.004	Resource Hijacking: Cloud Service Hijacking	Impact
